DATE,GS10
1985/4/1,11.43
1985/5/1,10.85
1985/6/1,10.16
1985/7/1,10.31
1985/8/1,10.33
1985/9/1,10.37
1985/10/1,10.24
1985/11/1,9.78
1985/12/1,9.26
1986/1/1,9.19
1986/2/1,8.7
1986/3/1,7.78
1986/4/1,7.3
1986/5/1,7.71
1986/6/1,7.8
1986/7/1,7.3
1986/8/1,7.17
1986/9/1,7.45
1986/10/1,7.43
1986/11/1,7.25
1986/12/1,7.11
1987/1/1,7.08
1987/2/1,7.25
1987/3/1,7.25
1987/4/1,8.02
1987/5/1,8.61
1987/6/1,8.4
1987/7/1,8.45
1987/8/1,8.76
1987/9/1,9.42
1987/10/1,9.52
1987/11/1,8.86
1987/12/1,8.99
1988/1/1,8.67
1988/2/1,8.21
1988/3/1,8.37
1988/4/1,8.72
1988/5/1,9.09
1988/6/1,8.92
1988/7/1,9.06
1988/8/1,9.26
1988/9/1,8.98
1988/10/1,8.8
1988/11/1,8.96
1988/12/1,9.11
1989/1/1,9.09
1989/2/1,9.17
1989/3/1,9.36
1989/4/1,9.18
1989/5/1,8.86
1989/6/1,8.28
1989/7/1,8.02
1989/8/1,8.11
1989/9/1,8.19
1989/10/1,8.01
1989/11/1,7.87
1989/12/1,7.84
1990/1/1,8.21
1990/2/1,8.47
1990/3/1,8.59
1990/4/1,8.79
1990/5/1,8.76
1990/6/1,8.48
1990/7/1,8.47
1990/8/1,8.75
1990/9/1,8.89
1990/10/1,8.72
1990/11/1,8.39
1990/12/1,8.08
1991/1/1,8.09
1991/2/1,7.85
1991/3/1,8.11
1991/4/1,8.04
1991/5/1,8.07
1991/6/1,8.28
1991/7/1,8.27
1991/8/1,7.9
1991/9/1,7.65
1991/10/1,7.53
1991/11/1,7.42
1991/12/1,7.09
1992/1/1,7.03
1992/2/1,7.34
1992/3/1,7.54
1992/4/1,7.48
1992/5/1,7.39
1992/6/1,7.26
1992/7/1,6.84
1992/8/1,6.59
1992/9/1,6.42
1992/10/1,6.59
1992/11/1,6.87
1992/12/1,6.77
1993/1/1,6.6
1993/2/1,6.26
1993/3/1,5.98
1993/4/1,5.97
1993/5/1,6.04
1993/6/1,5.96
1993/7/1,5.81
1993/8/1,5.68
1993/9/1,5.36
1993/10/1,5.33
1993/11/1,5.72
1993/12/1,5.77
1994/1/1,5.75
1994/2/1,5.97
1994/3/1,6.48
1994/4/1,6.97
1994/5/1,7.18
1994/6/1,7.1
1994/7/1,7.3
1994/8/1,7.24
1994/9/1,7.46
1994/10/1,7.74
1994/11/1,7.96
1994/12/1,7.81
1995/1/1,7.78
1995/2/1,7.47
1995/3/1,7.2
1995/4/1,7.06
1995/5/1,6.63
1995/6/1,6.17
1995/7/1,6.28
1995/8/1,6.49
1995/9/1,6.2
1995/10/1,6.04
1995/11/1,5.93
1995/12/1,5.71
1996/1/1,5.65
1996/2/1,5.81
1996/3/1,6.27
1996/4/1,6.51
1996/5/1,6.74
1996/6/1,6.91
1996/7/1,6.87
1996/8/1,6.64
1996/9/1,6.83
1996/10/1,6.53
1996/11/1,6.2
1996/12/1,6.3
1997/1/1,6.58
1997/2/1,6.42
1997/3/1,6.69
1997/4/1,6.89
1997/5/1,6.71
1997/6/1,6.49
1997/7/1,6.22
1997/8/1,6.3
1997/9/1,6.21
1997/10/1,6.03
1997/11/1,5.88
1997/12/1,5.81
1998/1/1,5.54
1998/2/1,5.57
1998/3/1,5.65
1998/4/1,5.64
1998/5/1,5.65
1998/6/1,5.5
1998/7/1,5.46
1998/8/1,5.34
1998/9/1,4.81
1998/10/1,4.53
1998/11/1,4.83
1998/12/1,4.65
1999/1/1,4.72
1999/2/1,5
1999/3/1,5.23
1999/4/1,5.18
1999/5/1,5.54
1999/6/1,5.9
1999/7/1,5.79
1999/8/1,5.94
1999/9/1,5.92
1999/10/1,6.11
1999/11/1,6.03
1999/12/1,6.28
2000/1/1,6.66
2000/2/1,6.52
2000/3/1,6.26
2000/4/1,5.99
2000/5/1,6.44
2000/6/1,6.1
2000/7/1,6.05
2000/8/1,5.83
2000/9/1,5.8
2000/10/1,5.74
2000/11/1,5.72
2000/12/1,5.24
2001/1/1,5.16
2001/2/1,5.1
2001/3/1,4.89
2001/4/1,5.14
2001/5/1,5.39
2001/6/1,5.28
2001/7/1,5.24
2001/8/1,4.97
2001/9/1,4.73
2001/10/1,4.57
2001/11/1,4.65
2001/12/1,5.09
2002/1/1,5.04
2002/2/1,4.91
2002/3/1,5.28
2002/4/1,5.21
2002/5/1,5.16
2002/6/1,4.93
2002/7/1,4.65
2002/8/1,4.26
2002/9/1,3.87
2002/10/1,3.94
2002/11/1,4.05
2002/12/1,4.03
2003/1/1,4.05
2003/2/1,3.9
2003/3/1,3.81
2003/4/1,3.96
2003/5/1,3.57
2003/6/1,3.33
2003/7/1,3.98
2003/8/1,4.45
2003/9/1,4.27
2003/10/1,4.29
2003/11/1,4.3
2003/12/1,4.27
2004/1/1,4.15
2004/2/1,4.08
2004/3/1,3.83
2004/4/1,4.35
2004/5/1,4.72
2004/6/1,4.73
2004/7/1,4.5
2004/8/1,4.28
2004/9/1,4.13
2004/10/1,4.1
2004/11/1,4.19
2004/12/1,4.23
2005/1/1,4.22
2005/2/1,4.17
2005/3/1,4.5
2005/4/1,4.34
2005/5/1,4.14
2005/6/1,4
2005/7/1,4.18
2005/8/1,4.26
2005/9/1,4.2
2005/10/1,4.46
2005/11/1,4.54
2005/12/1,4.47
2006/1/1,4.42
2006/2/1,4.57
2006/3/1,4.72
2006/4/1,4.99
2006/5/1,5.11
2006/6/1,5.11
2006/7/1,5.09
2006/8/1,4.88
2006/9/1,4.72
2006/10/1,4.73
2006/11/1,4.6
2006/12/1,4.56
2007/1/1,4.76
2007/2/1,4.72
2007/3/1,4.56
2007/4/1,4.69
2007/5/1,4.75
2007/6/1,5.1
2007/7/1,5
2007/8/1,4.67
2007/9/1,4.52
2007/10/1,4.53
2007/11/1,4.15
2007/12/1,4.1
2008/1/1,3.74
2008/2/1,3.74
2008/3/1,3.51
2008/4/1,3.68
2008/5/1,3.88
2008/6/1,4.1
2008/7/1,4.01
2008/8/1,3.89
2008/9/1,3.69
2008/10/1,3.81
2008/11/1,3.53
2008/12/1,2.42
2009/1/1,2.52
2009/2/1,2.87
2009/3/1,2.82
2009/4/1,2.93
2009/5/1,3.29
2009/6/1,3.72
2009/7/1,3.56
2009/8/1,3.59
2009/9/1,3.4
2009/10/1,3.39
2009/11/1,3.4
2009/12/1,3.59
2010/1/1,3.73
2010/2/1,3.69
2010/3/1,3.73
2010/4/1,3.85
2010/5/1,3.42
2010/6/1,3.2
2010/7/1,3.01
2010/8/1,2.7
2010/9/1,2.65
2010/10/1,2.54
2010/11/1,2.76
2010/12/1,3.29
2011/1/1,3.39
2011/2/1,3.58
2011/3/1,3.41
2011/4/1,3.46
2011/5/1,3.17
2011/6/1,3
2011/7/1,3
2011/8/1,2.3
2011/9/1,1.98
2011/10/1,2.15
2011/11/1,2.01
2011/12/1,1.98
2012/1/1,1.97
2012/2/1,1.97
2012/3/1,2.17
2012/4/1,2.05
2012/5/1,1.8
2012/6/1,1.62
2012/7/1,1.53
2012/8/1,1.68
2012/9/1,1.72
2012/10/1,1.75
2012/11/1,1.65
2012/12/1,1.72
2013/1/1,1.91
2013/2/1,1.98
2013/3/1,1.96
2013/4/1,1.76
2013/5/1,1.93
2013/6/1,2.3
2013/7/1,2.58
2013/8/1,2.74
2013/9/1,2.81
2013/10/1,2.62
2013/11/1,2.72
2013/12/1,2.9
2014/1/1,2.86
2014/2/1,2.71
2014/3/1,2.72
2014/4/1,2.71
2014/5/1,2.56
2014/6/1,2.6
2014/7/1,2.54
2014/8/1,2.42
2014/9/1,2.53
2014/10/1,2.3
2014/11/1,2.33
2014/12/1,2.21
2015/1/1,1.88
2015/2/1,1.98
2015/3/1,2.04
2015/4/1,1.94
2015/5/1,2.2
2015/6/1,2.36
2015/7/1,2.32
2015/8/1,2.17
2015/9/1,2.17
2015/10/1,2.07
2015/11/1,2.26
2015/12/1,2.24
2016/1/1,2.09
2016/2/1,1.78
2016/3/1,1.89
2016/4/1,1.81
2016/5/1,1.81
2016/6/1,1.64
2016/7/1,1.5
2016/8/1,1.56
2016/9/1,1.63
2016/10/1,1.76
2016/11/1,2.14
2016/12/1,2.49
2017/1/1,2.43
2017/2/1,2.42
2017/3/1,2.48
2017/4/1,2.3
2017/5/1,2.3
2017/6/1,2.19
2017/7/1,2.32
2017/8/1,2.21
2017/9/1,2.2
2017/10/1,2.36
2017/11/1,2.35
2017/12/1,2.4
2018/1/1,2.58
2018/2/1,2.86
2018/3/1,2.84
2018/4/1,2.87
2018/5/1,2.98
2018/6/1,2.91
2018/7/1,2.89
2018/8/1,2.89
2018/9/1,3
2018/10/1,3.15
2018/11/1,3.12
2018/12/1,2.83
2019/1/1,2.71
2019/2/1,2.68
2019/3/1,2.57
2019/4/1,2.53
2019/5/1,2.4
2019/6/1,2.07
2019/7/1,2.06
2019/8/1,1.63
2019/9/1,1.7
2019/10/1,1.71
2019/11/1,1.81
2019/12/1,1.86
2020/1/1,1.76
2020/2/1,1.5
